Track_ID,Danceability,Energy,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster
Track_001,0.3397,0.1368,0.2425,0.397,0.9468,Cluster 1
Track_002,0.2889,0.2163,0.2218,0.3536,0.917,Cluster 1
Track_003,0.3518,0.2226,0.2801,0.3145,0.8714,Cluster 1
Track_004,0.4218,0.1858,0.333,0.3238,0.8595,Cluster 2
Track_005,0.2813,0.2371,0.2273,0.342,0.9068,Cluster 1
Track_006,0.2813,0.2823,0.2571,0.3086,0.8743,Cluster 1
Track_007,0.4263,0.4009,0.4439,0.1235,0.6881,Cluster 2
Track_008,0.3614,0.264,0.3086,0.2737,0.8334,Cluster 2
Track_009,0.2624,0.2706,0.2355,0.3303,0.8959,Cluster 1
Track_010,0.3434,0.244,0.2828,0.3001,0.8603,Cluster 1
Track_011,0.2629,0.0965,0.1629,0.468,1.0254,Cluster 1
Track_012,0.2627,0.2479,0.2199,0.3462,0.9118,Cluster 1
Track_013,0.3194,0.2548,0.2685,0.3045,0.868,Cluster 1
Track_014,0.1469,0.4471,0.3503,0.357,0.8788,Cluster 1
Track_015,0.162,0.2346,0.1482,0.4297,0.9937,Cluster 1
Track_016,0.255,0.2741,0.2331,0.3333,0.8988,Cluster 1
Track_017,0.219,0.2472,0.1893,0.378,0.9433,Cluster 1
Track_018,0.3251,0.1565,0.2321,0.3855,0.9398,Cluster 1
Track_019,0.2274,0.3414,0.273,0.3154,0.8743,Cluster 1
Track_020,0.187,0.3102,0.2275,0.3661,0.9253,Cluster 1
Track_021,0.4173,0.3133,0.3823,0.2042,0.7597,Cluster 2
Track_022,0.2819,0.1772,0.1976,0.3896,0.951,Cluster 1
Track_023,0.3054,0.3622,0.3331,0.2384,0.8017,Cluster 2
Track_024,0.186,0.1379,0.094,0.4793,1.0443,Cluster 1
Track_025,0.2564,0.2969,0.2515,0.3172,0.882,Cluster 1
Track_026,0.3089,0.4252,0.3865,0.2052,0.7582,Cluster 2
Track_027,0.2079,0.1708,0.1291,0.4401,1.0054,Cluster 1
Track_028,0.3301,0.2047,0.2528,0.3407,0.899,Cluster 1
Track_029,0.2519,0.258,0.2192,0.3466,0.9122,Cluster 1
Track_030,0.2767,0.2097,0.208,0.3662,0.9301,Cluster 1
Track_031,0.7019,0.3259,0.6429,0.2666,0.6073,Cluster 2
Track_032,0.8982,0.4555,0.8738,0.4007,0.4445,Cluster 2
Track_033,0.7489,0.365,0.7009,0.2832,0.5559,Cluster 2
Track_034,0.6654,0.4879,0.6857,0.1658,0.4742,Cluster 2
Track_035,0.8158,0.3764,0.7673,0.3391,0.5303,Cluster 2
Track_036,0.6523,0.574,0.7278,0.1693,0.4094,Cluster 2
Track_037,0.7667,0.3873,0.726,0.2895,0.5297,Cluster 2
Track_038,0.5932,0.4242,0.5902,0.1201,0.5661,Cluster 2
Track_039,0.6437,0.5151,0.684,0.1445,0.4624,Cluster 2
Track_040,0.7657,0.3515,0.7116,0.3044,0.5647,Cluster 2
Track_041,0.8091,0.4682,0.799,0.3107,0.4413,Cluster 2
Track_042,0.7637,0.5546,0.8045,0.2693,0.3713,Cluster 2
Track_043,0.7407,0.3214,0.6779,0.2997,0.6001,Cluster 2
Track_044,0.7259,0.4648,0.7245,0.2286,0.4687,Cluster 2
Track_045,0.6317,0.4708,0.6482,0.1349,0.5062,Cluster 2
Track_046,0.6924,0.5125,0.7219,0.1928,0.4396,Cluster 2
Track_047,0.7131,0.351,0.6625,0.26,0.5799,Cluster 2
Track_048,0.8346,0.3444,0.7742,0.369,0.5594,Cluster 2
Track_049,0.7775,0.4918,0.7826,0.2776,0.4262,Cluster 2
Track_050,0.609,0.4738,0.6315,0.1121,0.5161,Cluster 2
Track_051,0.7759,0.47,0.7705,0.2775,0.4475,Cluster 2
Track_052,0.7192,0.4777,0.7253,0.2203,0.4594,Cluster 2
Track_053,0.6958,0.3956,0.6651,0.2219,0.5442,Cluster 2
Track_054,0.7989,0.4686,0.7901,0.3005,0.4431,Cluster 2
Track_055,0.8325,0.4734,0.8222,0.3336,0.4319,Cluster 2
Track_056,0.8245,0.3929,0.7815,0.3417,0.5127,Cluster 2
Track_057,0.6829,0.5993,0.7675,0.2081,0.3709,Cluster 2
Track_058,0.7253,0.4879,0.7358,0.2256,0.4476,Cluster 2
Track_059,0.7765,0.3547,0.7229,0.3124,0.5591,Cluster 2
Track_060,0.828,0.5025,0.8319,0.328,0.404,Cluster 2
Track_061,0.7117,0.372,0.6694,0.2474,0.5606,Cluster 2
Track_062,0.7351,0.513,0.7576,0.2355,0.4207,Cluster 2
Track_063,0.6615,0.5427,0.715,0.167,0.4296,Cluster 2
Track_064,0.6543,0.3843,0.623,0.1929,0.5712,Cluster 2
Track_065,0.815,0.5271,0.8329,0.3162,0.3825,Cluster 2
Track_066,0.7585,0.8489,0.9972,0.4342,0.1504,Cluster 3
Track_067,0.6442,0.8775,0.949,0.4041,0.2568,Cluster 3
Track_068,0.7303,0.95,1.0582,0.5055,0.1769,Cluster 3
Track_069,0.6789,0.8028,0.9105,0.3517,0.2415,Cluster 3
Track_070,0.5984,0.7672,0.8328,0.2847,0.3295,Cluster 2
Track_071,0.6789,0.7577,0.8762,0.3137,0.2629,Cluster 3
Track_072,0.773,0.7629,0.9447,0.379,0.1869,Cluster 3
Track_073,0.6471,0.8146,0.9,0.3473,0.2669,Cluster 3
Track_074,0.7752,0.8439,1.0046,0.4405,0.1368,Cluster 3
Track_075,0.4404,0.8394,0.814,0.3446,0.4636,Cluster 2
Track_076,0.7158,0.8779,0.9921,0.4352,0.1855,Cluster 3
Track_077,0.657,0.8209,0.911,0.3572,0.2556,Cluster 3
Track_078,0.6261,0.9217,0.9757,0.4402,0.2748,Cluster 3
