Track_ID,Danceability,Energy,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster
Track_001,0.3397,0.1368,0.1296,0.5045,0.7525,Cluster 1
Track_002,0.2889,0.2163,0.0381,0.5042,0.7058,Cluster 1
Track_003,0.3518,0.2226,0.074,0.4461,0.6699,Cluster 1
Track_004,0.4218,0.1858,0.153,0.4098,0.676,Cluster 1
Track_005,0.2813,0.2371,0.0175,0.5019,0.6921,Cluster 1
Track_006,0.2813,0.2823,0.0283,0.4847,0.6544,Cluster 1
Track_007,0.4263,0.4009,0.2038,0.314,0.4773,Cluster 1
Track_008,0.3614,0.264,0.0771,0.418,0.6287,Cluster 1
Track_009,0.2624,0.2706,0.0278,0.5064,0.6748,Cluster 1
Track_010,0.3434,0.244,0.0594,0.4431,0.6548,Cluster 1
Track_011,0.2629,0.0965,0.1592,0.59,0.8228,Cluster 1
Track_012,0.2627,0.2479,0.0231,0.5146,0.6933,Cluster 1
Track_013,0.3194,0.2548,0.0345,0.4599,0.6571,Cluster 1
Track_014,0.1469,0.4471,0.2372,0.5899,0.6289,Cluster 1
Track_015,0.162,0.2346,0.1245,0.6131,0.7647,Cluster 1
Track_016,0.255,0.2741,0.0359,0.5122,0.6763,Cluster 1
Track_017,0.219,0.2472,0.0663,0.5553,0.7193,Cluster 1
Track_018,0.3251,0.1565,0.1056,0.5044,0.741,Cluster 1
Track_019,0.2274,0.3414,0.1045,0.5204,0.641,Cluster 1
Track_020,0.187,0.3102,0.1128,0.5668,0.6912,Cluster 1
Track_021,0.4173,0.3133,0.145,0.3467,0.5598,Cluster 1
Track_022,0.2819,0.1772,0.0771,0.5294,0.7431,Cluster 1
Track_023,0.3054,0.3622,0.1099,0.4398,0.5755,Cluster 1
Track_024,0.186,0.1379,0.1527,0.632,0.8274,Cluster 1
Track_025,0.2564,0.2969,0.0513,0.5036,0.6571,Cluster 1
Track_026,0.3089,0.4252,0.1727,0.4285,0.5243,Cluster 1
Track_027,0.2079,0.1708,0.1135,0.5971,0.7879,Cluster 1
Track_028,0.3301,0.2047,0.067,0.4739,0.6958,Cluster 1
Track_029,0.2519,0.258,0.0332,0.5208,0.6912,Cluster 1
Track_030,0.2767,0.2097,0.0452,0.5181,0.7178,Cluster 1
Track_031,0.7019,0.3259,0.4231,0.1269,0.4979,Cluster 2
Track_032,0.8982,0.4555,0.6455,0.1616,0.4407,Cluster 2
Track_033,0.7489,0.365,0.477,0.0838,0.4664,Cluster 2
Track_034,0.6654,0.4879,0.4465,0.0818,0.3337,Cluster 2
Track_035,0.8158,0.3764,0.5448,0.1066,0.474,Cluster 2
Track_036,0.6523,0.574,0.4871,0.1518,0.2473,Cluster 2
Track_037,0.7667,0.3873,0.4998,0.0676,0.4488,Cluster 2
Track_038,0.5932,0.4242,0.3521,0.1455,0.4015,Cluster 2
Track_039,0.6437,0.5151,0.4436,0.1148,0.3063,Cluster 2
Track_040,0.7657,0.3515,0.4905,0.1006,0.4833,Cluster 2
Track_041,0.8091,0.4682,0.5662,0.0751,0.3863,Cluster 2
Track_042,0.7637,0.5546,0.5652,0.11,0.289,Cluster 2
Track_043,0.7407,0.3214,0.4607,0.1266,0.5076,Cluster 2
Track_044,0.7259,0.4648,0.4887,0.0201,0.364,Cluster 2
Track_045,0.6317,0.4708,0.4089,0.1076,0.3511,Cluster 2
Track_046,0.6924,0.5125,0.4825,0.0784,0.3114,Cluster 2
Track_047,0.7131,0.351,0.439,0.0998,0.4742,Cluster 2
Track_048,0.8346,0.3444,0.5571,0.1424,0.5105,Cluster 2
Track_049,0.7775,0.4918,0.5469,0.0599,0.3524,Cluster 2
Track_050,0.609,0.4738,0.3915,0.1304,0.3502,Cluster 2
Track_051,0.7759,0.47,0.5363,0.0449,0.3724,Cluster 2
Track_052,0.7192,0.4777,0.4884,0.0346,0.35,Cluster 2
Track_053,0.6958,0.3956,0.4345,0.0665,0.4279,Cluster 2
Track_054,0.7989,0.4686,0.5569,0.0655,0.3819,Cluster 2
Track_055,0.8325,0.4734,0.5898,0.099,0.3918,Cluster 2
Track_056,0.8245,0.3929,0.5571,0.1035,0.4617,Cluster 2
Track_057,0.6829,0.5993,0.5268,0.1607,0.2241,Cluster 2
Track_058,0.7253,0.4879,0.4986,0.0416,0.3413,Cluster 2
Track_059,0.7765,0.3547,0.5018,0.1013,0.4828,Cluster 2
Track_060,0.828,0.5025,0.5972,0.1063,0.364,Cluster 2
Track_061,0.7117,0.372,0.4428,0.0799,0.4532,Cluster 2
Track_062,0.7351,0.513,0.5193,0.0651,0.3192,Cluster 2
Track_063,0.6615,0.5427,0.4744,0.1211,0.2787,Cluster 2
Track_064,0.6543,0.3843,0.3916,0.1042,0.437,Cluster 2
Track_065,0.815,0.5271,0.5962,0.1113,0.3361,Cluster 2
Track_066,0.7585,0.8489,0.7602,0.4016,0.1096,Cluster 3
Track_067,0.6442,0.8775,0.7194,0.4395,0.0568,Cluster 3
Track_068,0.7303,0.95,0.8261,0.5021,0.1504,Cluster 3
Track_069,0.6789,0.8028,0.6754,0.3596,0.0323,Cluster 3
Track_070,0.5984,0.7672,0.6012,0.348,0.0764,Cluster 3
Track_071,0.6789,0.7577,0.6393,0.3152,0.0689,Cluster 3
Track_072,0.773,0.7629,0.705,0.3171,0.134,Cluster 3
Track_073,0.6471,0.8146,0.6673,0.3775,0.0085,Cluster 3
Track_074,0.7752,0.8439,0.7669,0.3979,0.1249,Cluster 3
Track_075,0.4404,0.8394,0.6055,0.491,0.2128,Cluster 3
Track_076,0.7158,0.8779,0.7581,0.4305,0.085,Cluster 3
Track_077,0.657,0.8209,0.6779,0.3814,0.0046,Cluster 3
Track_078,0.6261,0.9217,0.7496,0.4866,0.1038,Cluster 3
Track_079,0.6573,0.8015,0.662,0.3624,0.0204,Cluster 3
Track_080,0.491,0.95,0.7257,0.559,0.2064,Cluster 3
Track_081,0.6324,0.8638,0.7017,0.4288,0.047,Cluster 3
Track_082,0.6786,0.76,0.641,0.3175,0.0667,Cluster 3
Track_083,0.7682,0.745,0.6888,0.2988,0.1387,Cluster 3
Track_084,0.6085,0.8538,0.6813,0.4257,0.0546,Cluster 3
Track_085,0.5853,0.8044,0.6269,0.3874,0.0692,Cluster 3
Track_086,0.6099,0.87,0.6963,0.4408,0.0646,Cluster 3
Track_087,0.7232,0.8531,0.7422,0.4054,0.0776,Cluster 3
Track_088,0.6763,0.8149,0.6838,0.372,0.0247,Cluster 3
Track_089,0.6076,0.7607,0.6006,0.3384,0.0754,Cluster 3
Track_090,0.6911,0.714,0.6135,0.27,0.1141,Cluster 3
Track_091,0.6578,0.7887,0.6517,0.3498,0.033,Cluster 3
Track_092,0.7275,0.8799,0.7664,0.4321,0.0953,Cluster 3
Track_093,0.5938,0.835,0.6578,0.4127,0.0602,Cluster 3
Track_094,0.6238,0.7328,0.5864,0.3065,0.093,Cluster 3
Track_095,0.6186,0.8321,0.6673,0.402,0.0355,Cluster 3
Track_096,0.5329,0.847,0.6426,0.4482,0.1222,Cluster 3
Track_097,0.6737,0.7581,0.6365,0.3166,0.0667,Cluster 3
Track_098,0.6709,0.8308,0.6939,0.3885,0.0208,Cluster 3
Track_099,0.6504,0.8241,0.677,0.386,0.0034,Cluster 3
Track_100,0.6312,0.74,0.5966,0.3106,0.084,Cluster 3
